base_municipality,detected_category,depth,title,url,source_page_title,source_page_url,error,score,display_rank,category_label
豊島区,district_plan,2,高齢のかた、障害のあるかたへ,https://www.city.toshima.lg.jp/361/kuse/senkyo/sedo/1608161356.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,郵便等による投票,https://www.city.toshima.lg.jp/361/kuse/senkyo/sedo/1703291033.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,豊島区民でない方が、豊島区で滞在地投票を行う場合,https://www.city.toshima.lg.jp/361/kuse/senkyo/sedo/1810181416.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,滞在先での投票,https://www.city.toshima.lg.jp/361/kuse/senkyo/sedo/1811051430.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,選挙物品の貸出について,https://www.city.toshima.lg.jp/361/senkyo/2512161355.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,当日投票所案内,https://www.city.toshima.lg.jp/361/senkyo/tohyojo/index.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,監査,https://www.city.toshima.lg.jp/362/kuse/kansa/gaiyo/002985.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,監査の結果（一覧）,https://www.city.toshima.lg.jp/362/kuse/kansa/kekka/002986.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,住民監査請求,https://www.city.toshima.lg.jp/362/kuse/kansa/sekyu/002990.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
豊島区,district_plan,2,指定管理者制度,https://www.city.toshima.lg.jp/416/kuse/shisaku/001580.html,区政情報,https://www.city.toshima.lg.jp/kuse/index.html,,23,関連確認,都市計画・用途地域
