base_municipality,category,search_keyword,google_search_url,registered_url
中野区,building_guidance,中野区 建築指導課,https://www.google.com/search?q=%E4%B8%AD%E9%87%8E%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
杉並区,official,杉並区 公式サイト,https://www.google.com/search?q=%E6%9D%89%E4%B8%A6%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
杉並区,road,杉並区 指定道路図,https://www.google.com/search?q=%E6%9D%89%E4%B8%A6%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
杉並区,district_plan,杉並区 地区計画,https://www.google.com/search?q=%E6%9D%89%E4%B8%A6%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
杉並区,building_guidance,杉並区 建築指導課,https://www.google.com/search?q=%E6%9D%89%E4%B8%A6%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
豊島区,official,豊島区 公式サイト,https://www.google.com/search?q=%E8%B1%8A%E5%B3%B6%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
豊島区,road,豊島区 指定道路図,https://www.google.com/search?q=%E8%B1%8A%E5%B3%B6%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
豊島区,district_plan,豊島区 地区計画,https://www.google.com/search?q=%E8%B1%8A%E5%B3%B6%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
豊島区,building_guidance,豊島区 建築指導課,https://www.google.com/search?q=%E8%B1%8A%E5%B3%B6%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
北区,official,北区 公式サイト,https://www.google.com/search?q=%E5%8C%97%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
北区,road,北区 指定道路図,https://www.google.com/search?q=%E5%8C%97%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
北区,district_plan,北区 地区計画,https://www.google.com/search?q=%E5%8C%97%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
北区,building_guidance,北区 建築指導課,https://www.google.com/search?q=%E5%8C%97%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
荒川区,official,荒川区 公式サイト,https://www.google.com/search?q=%E8%8D%92%E5%B7%9D%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
荒川区,road,荒川区 指定道路図,https://www.google.com/search?q=%E8%8D%92%E5%B7%9D%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
荒川区,district_plan,荒川区 地区計画,https://www.google.com/search?q=%E8%8D%92%E5%B7%9D%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
荒川区,building_guidance,荒川区 建築指導課,https://www.google.com/search?q=%E8%8D%92%E5%B7%9D%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
板橋区,official,板橋区 公式サイト,https://www.google.com/search?q=%E6%9D%BF%E6%A9%8B%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
