base_municipality,detected_category,depth,title,url,source_page_title,source_page_url,error
世田谷区,road,2,講習・講座,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12185.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,
世田谷区,road,2,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html#tmp_header,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,
世田谷区,road,2,本文へスキップします。,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html#tmp_honbun,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,
世田谷区,road,3,令和7年度地区アセスメント（等々力地区）（PDF：399KB）,https://www.city.setagaya.lg.jp/documents/10433/16_todorokitikuasesu.pdf,まちづくり活動の目標（地区ビジョン）と地区アセスメント,https://www.city.setagaya.lg.jp/01049/10433.html,
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12176.html#tmp_header,等々力地区のお知らせ一覧を見る,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12176.html,
世田谷区,road,3,本文へスキップします。,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12176.html#tmp_honbun,等々力地区のお知らせ一覧を見る,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12176.html,
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12178.html#tmp_header,等々力地区のできごと一覧を見る,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12178.html,
世田谷区,road,3,本文へスキップします。,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12178.html#tmp_honbun,等々力地区のできごと一覧を見る,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12178.html,
世田谷区,road,3,等々力中央保育園の紹介,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12180.html#a10437,子ども・子育て,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12180.html,
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12180.html#tmp_header,子ども・子育て,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12180.html,
世田谷区,road,3,本文へスキップします。,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12180.html#tmp_honbun,子ども・子育て,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12180.html,
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12181.html#tmp_header,地域の見守り（高齢者・障害者）,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12181.html,
世田谷区,road,3,本文へスキップします。,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12181.html#tmp_honbun,地域の見守り（高齢者・障害者）,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12181.html,
世田谷区,road,3,健康,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html#a12804,健康・地域交流,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html,
世田谷区,road,3,地域交流・仲間づくり,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html#a12805,健康・地域交流,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html,
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html#tmp_header,健康・地域交流,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html,
世田谷区,road,3,本文へスキップします。,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html#tmp_honbun,健康・地域交流,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html,
世田谷区,road,3,等々力地区の震災時の避難場所と防災情報,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html#a10438,安全・安心・防災,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html,
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html#tmp_header,安全・安心・防災,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html,
世田谷区,road,3,本文へスキップします。,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html#tmp_honbun,安全・安心・防災,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html,
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12184.html#tmp_header,ごみ減量・リサイクル,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12184.html,
世田谷区,road,3,本文へスキップします。,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12184.html#tmp_honbun,ごみ減量・リサイクル,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12184.html,
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12185.html#tmp_header,講習・講座,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12185.html,
世田谷区,road,3,本文へスキップします。,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12185.html#tmp_honbun,講習・講座,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12185.html,
世田谷区,road,3,健康,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12804.html,健康・地域交流,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html,
世田谷区,road,3,地域交流・仲間づくり,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12805.html,健康・地域交流,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html,
中央区,building_guidance,2,建築関係総合窓口（ワンストップ窓口）を開設しています,https://www.city.chuo.lg.jp/a0040/machizukuri/kenchiku/soumado.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,building_guidance,2,建築紛争が生じたときは,https://www.city.chuo.lg.jp/a0043/machizukuri/kenchiku/hunso.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,building_guidance,2,建築基準法の道路種別,https://www.city.chuo.lg.jp/a0043/machizukuri/kenchiku/user_kentiku_time_dourosyubetu.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,building_guidance,2,建築,https://www.city.chuo.lg.jp/machizukuri/kenchiku/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,building_guidance,2,住居表示,https://www.city.chuo.lg.jp/machizukuri/kenchiku/jyukyohyozi/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,building_guidance,2,新築・増改築の事前手続き,https://www.city.chuo.lg.jp/machizukuri/kenchiku/kentikutetuzuki/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,building_guidance,2,既存の建築物に関する制度,https://www.city.chuo.lg.jp/machizukuri/kenchiku/kizon/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,building_guidance,2,建築確認・許可・認定,https://www.city.chuo.lg.jp/machizukuri/kenchiku/kyoka/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,building_guidance,2,耐震に関する制度,https://www.city.chuo.lg.jp/machizukuri/kenchiku/taishin/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,district_plan,1,,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424,公式トップ,https://www.city.chuo.lg.jp/,
中央区,district_plan,1,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,公式トップ,https://www.city.chuo.lg.jp/,
中央区,district_plan,2,河川敷地占用許可準則に基づく都市・地域再生等利用区域の指定,https://www.city.chuo.lg.jp/a0034/machizukuri/kasen/kasennsikitisennyoukyokajunnsoku.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,district_plan,2,中央区水辺利用の活性化に関する方策,https://www.city.chuo.lg.jp/a0034/machizukuri/kasen/mizube.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,district_plan,2,区で管理する船着場,https://www.city.chuo.lg.jp/a0035/machizukuri/kasen/kudekannrisurufunatukiba.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,district_plan,2,第11次中央区交通安全計画,https://www.city.chuo.lg.jp/a0035/machizukuri/koutsuukeikaku/20160915.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,district_plan,2,都心・臨海地下鉄新線,https://www.city.chuo.lg.jp/a0035/machizukuri/koutsuukeikaku/rinkaichikatetsu.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,district_plan,2,中央区総合交通計画2022,https://www.city.chuo.lg.jp/a0035/machizukuri/koutsuukeikaku/sougoukoutsuukeikaku.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,district_plan,2,中央区駐車場駐輪場長寿命化計画,https://www.city.chuo.lg.jp/a0035/machizukuri/koutsuukeikaku/tyusyajyotyurinjyokeikaku.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,district_plan,2,東京駅前地域における八重洲バスターミナルの整備推進,https://www.city.chuo.lg.jp/a0035/machizukuri/koutsuukeikaku/user_seibi_time_20150805.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,
中央区,district_plan,2,「中央区の森」キャラクター大集合,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/character.html,,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424,
中央区,district_plan,2,「中央区の森」に行ってみませんか,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/chuo_mori_go.html,,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424,
中央区,district_plan,2,区内事業者・団体の皆さんの森林保全活動を応援します,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/chuo_mori_suport.html,,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424,
中央区,district_plan,2,中央区の森事業推進協議会,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/chuokunomorikyougikai.html,,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424,
中央区,district_plan,2,中央区の森寄付金,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/chuomori_kifu.html,,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424,
中央区,district_plan,2,中央区の森（南郷地区）,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/chuonomori_nango.html,,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424,
中央区,district_plan,2,中央区の森環境ふれあい村構想を終了しました,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/hureaimura.html,,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424,
中央区,district_plan,2,中央区の森（数馬地区）,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/katudoujyoukyou.html,,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424,
中央区,district_plan,2,中央区の森寄付金の寄付者一覧,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/kifusha_ichiran.html,,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424,
中央区,district_plan,2,「中央区の森」の木材活用,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/mokuzaikatuyou.html,,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424,
中央区,district_plan,2,「中央区の森」が「自然共生サイト」に認定されました,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html,,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424,
中央区,district_plan,2,ページの先頭へ戻る,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424#tmp_header,,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/chuonomori/sizenkyouseisaito.html?utm_source=kan-kyo_top&utm_medium=ba&utm_campaign=18102_260424,
